municipio,numero_escolas_trabalha,tipo_escola,niveis_escola,idade,sexo,formacao,area_ed_inf,area_ef_finais,area_ef_iniciais,area_ens_medio,area_ens_tec,contrato,tempo_escola,tempo_profissao,hrs_semanais,numero_professores,supervisiona,licenca_2semanas,licenca_ano,quantotempo,scv,saude,exaustao
Passo Fundo,1,1,2,55,2,2,0,1,1,0,0,1,14,14,20,37,2,1,1,,7,4,"0,8"
Tapejara,2,1,2,45,2,7,1,0,1,0,0,1,3,6,20,37,1,1,1,,6,4,"0,8"
Espumoso,1,1,2,53,2,2,1,1,1,0,0,1,"0,5",32,40,36,2,1,1,,5,4,"0,8"
Marau,1,1,2,43,2,3,0,0,1,0,0,1,"0,8",24,40,35,2,2,1,,6,4,"0,8"
Erechim,2,1,2,30,2,1,1,0,1,0,0,1,1,11,40,33,1,,1,,5,4,"0,8"
Erechim,1,,,33,2,1,1,0,0,0,0,1,5,10,40,33,1,1,1,,6,4,"0,8"
Erechim,1,1,1,44,2,2,1,0,0,0,0,1,4,,20,30,2,1,1,,6,4,"0,8"
Getúlio Vargas,1,1,2,40,2,6,0,0,1,0,0,2,1,1,20,28,1,1,2,2,6,4,"0,8"
Ibiaçá,1,2,3,51,2,2,0,0,1,0,0,1,26,,22,27,1,1,1,,3,4,"0,8"
Espumoso,1,1,1,41,2,1,1,0,0,0,0,1,7,11,40,26,1,1,2,22,7,4,"0,8"
Passo Fundo,2,1,2,47,2,1,0,0,1,0,0,1,15,20,20,25,1,1,1,,6,4,"0,8"
Tapera,1,1,2,26,2,2,0,0,1,0,0,1,"0,4",8,22,24,1,1,1,,6,4,"0,8"
Marau,1,1,1,,2,2,1,0,0,0,0,1,5,30,20,17,1,1,1,,6,4,"0,8"
Espumoso,2,1,2,41,2,1,1,0,1,0,0,1,18,21,18,17,1,1,1,,7,4,"0,8"
Marau,1,1,1,59,2,1,1,0,0,0,0,2,1,5,20,17,2,1,1,,5,4,"0,8"
Marau,2,1,2,28,2,2,0,1,0,0,0,1,3,3,35,16,1,1,1,,7,4,"0,8"
Passo Fundo,1,1,2,33,2,2,0,0,1,0,0,1,5,12,20,13,2,1,1,,7,4,"0,8"
Espumoso,,,,,2,1,0,1,0,0,0,1,"0,5",17,,10,2,1,1,,6,4,"0,8"
Passo Fundo,1,1,1,30,2,2,1,0,1,0,0,1,2,9,11,10,1,1,1,,6,4,"0,8"
Passo Fundo,2,1,1,26,2,1,1,0,0,0,0,1,"0,08",8,6,10,1,1,1,,6,4,"0,8"
Sananduva,,,,35,2,2,0,0,1,0,0,1,5,8,40,7,2,1,2,5,6,4,"0,8"
Ibirubá,1,1,1,39,2,2,1,0,0,0,0,1,2,19,40,6,2,1,1,,5,4,"0,8"
Tapejara,1,1,5,21,2,5,0,1,0,0,0,3,1,3,20,4,0,1,1,,7,4,"0,8"
